taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,degreeOfEstablishment,pathway,eventDate,source,occurrenceRemarks
alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,1935/1935,"Weiserbs A. et Jacob J.-P. 2005. Amphibiens et Reptiles de la Région de Bruxelles-Capitale. Aves et Institut Bruxellois pour la Gestion de l’Environnement, Bruxelles. 107 pages.",
alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2013/2020,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:00173d67b213ebc5eb0c1a29b7e422dc,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,,Natagora,
alien-herpetofauna-belgium:taxon:0071508c44f068ff6d46a00c66546945,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,,1894/1967,"Weiserbs A. et Jacob J.-P. 2005. Amphibiens et Reptiles de la Région de Bruxelles-Capitale. Aves et Institut Bruxellois pour la Gestion de l’Environnement, Bruxelles. 107 pages.",
alien-herpetofauna-belgium:taxon:0071508c44f068ff6d46a00c66546945,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,2010/2023,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:04b8603a65a17134d98dc10e9b6460eb,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2011/2014,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:0fe00308f2274b539fd7ffc022fec1ed,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2015/2015,SOS reptiel,
alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,containerBulk,2018/2018,SOS reptiel,
alien-herpetofauna-belgium:taxon:120fce858323335c4bfb07eb99b687f4,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,2022/2022,https://waarnemingen.be/observation/256636763/,
alien-herpetofauna-belgium:taxon:12f3f7396362d8052953e9d2e6a8bd6e,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2019/2019,https://www.rtlnieuws.nl/nieuws/buitenland/artikel/4874306/belgische-brandweer-vindt-slangen-van-het-meest-giftige-soort,
alien-herpetofauna-belgium:taxon:134fe41ee2f30e5d1002761ef0c8a0d8,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2019,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:14a3424984726e6b79c45b3fd6c97d78,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2011/2019,SOS reptiel | Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:14a3424984726e6b79c45b3fd6c97d78,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2011/2019,SOS reptiel | Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:17d5724bed39b179f4f21452ee844661,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,2005/2005,"Weiserbs A. et Jacob J.-P. 2005. Amphibiens et Reptiles de la Région de Bruxelles-Capitale. Aves et Institut Bruxellois pour la Gestion de l’Environnement, Bruxelles. 107 pages.",
alien-herpetofauna-belgium:taxon:19be076d4a60880bd384f6fe7e9396ce,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2023/2023,SOS reptiel,
alien-herpetofauna-belgium:taxon:1c8f3f90a4cdd84406d1687b5201e21a,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,1970/1970,"Weiserbs A. et Jacob J.-P. 2005. Amphibiens et Reptiles de la Région de Bruxelles-Capitale. Aves et Institut Bruxellois pour la Gestion de l’Environnement, Bruxelles. 107 pages.",
alien-herpetofauna-belgium:taxon:1db6c894eb9bac300bb01063be04721f,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2021/2022,SOS reptiel,
alien-herpetofauna-belgium:taxon:1e37d2d11e5a99e56b782a719f85dbbb,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2012/2015,SOS reptiel | Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:219f5fd2da69430a0f8475eb5390f670,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2005/2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:233314dc80badae55523d41e038b3f2d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2019,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:26b25c88b457341c87edb0dbca4bdcba,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,established,otherTransport,1970/2024,"Jooris, R. & Lehouck, M. (2007). De Muurhagedis in Vlaanderen. Natuur.focus 6(4):123-129",presumably introduced as stowaway in transport of goods per train
alien-herpetofauna-belgium:taxon:26b25c88b457341c87edb0dbca4bdcba,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,colonising,otherTransport,2004/2024,"Jooris, R. & Lehouck, M. (2007). De Muurhagedis in Vlaanderen. Natuur.focus 6(4):123-129 | Vogelbescherming Vlaanderen",presumably introduced as stowaway in transport of goods per train
alien-herpetofauna-belgium:taxon:2b5333bc423aaa15491b8575fbffe5b8,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2019/2020,https://www.natuurhulpcentrum.be/slang-gevangen-in-tongeren/ | SOS reptiel,
alien-herpetofauna-belgium:taxon:2e5a2ac12840e368cef4618039165c18,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2012/2015,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:2f3dc8f283b4402335d1911a9d948ccf,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,2010/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:2f3dc8f283b4402335d1911a9d948ccf,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,1997/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:2f3dc8f283b4402335d1911a9d948ccf,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2010/2024,Natagora,
alien-herpetofauna-belgium:taxon:3112354302992e3b2942412f18824a57,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,widespreadInvasive,pet,1996/2024,"Adriaens et al. 2013 | Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:3112354302992e3b2942412f18824a57,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,established,pet,1992/2020,Natagora,
alien-herpetofauna-belgium:taxon:31c7a98de3048853f435c1f4a1ff6cd6,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2013/2013,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:33d0f7474bf65769f754a5684cafbd65,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,,2017/2023,Firsthand accounts,
alien-herpetofauna-belgium:taxon:3737f12a33d40b40327ca5d47e5ef512,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2023/2023,SOS reptiel,
alien-herpetofauna-belgium:taxon:3a8291f00819019004d5617b918c868a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2013/2018,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:3a8291f00819019004d5617b918c868a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,otherTransport,2013/2018,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:3a8291f00819019004d5617b918c868a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,contaminantNursery,2013/2018,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:3ccc27578f179093c30542a99baca746,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2006/2023,https://www.hln.be/dentergem/man-ontdekt-boa-constrictor-in-zijn-dakgoot-slang-blijkt-ontsnapt-bij-de-buren~a13151f6/ | Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:3ccc27578f179093c30542a99baca746,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2006/2023,https://www.hln.be/dentergem/man-ontdekt-boa-constrictor-in-zijn-dakgoot-slang-blijkt-ontsnapt-bij-de-buren~a13151f6/ | Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:3ccc27578f179093c30542a99baca746,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2022/2022,Natagora,
alien-herpetofauna-belgium:taxon:3e4d80d2440fca3c0bda8f579056cc62,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2020/2020,SOS reptiel,
alien-herpetofauna-belgium:taxon:41c58b038b49ee40c38efb46e5624186,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2009/2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:425d86ee7e1d902b67a68e0b5b8d9c9a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2021/2021,SOS reptiel,
alien-herpetofauna-belgium:taxon:43bd6596833aafe9e43b7301eb64318d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,otherTransport,2013/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:43bd6596833aafe9e43b7301eb64318d,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,,2015/2018,Natagora,
alien-herpetofauna-belgium:taxon:45afdaecea5a48ec08a8d7eee568d63a,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,contaminantNursery,2020/2024,SOS reptiel | Own observation,
alien-herpetofauna-belgium:taxon:468abc4fa7be8283dfdabafc557755f4,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,2012/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:468abc4fa7be8283dfdabafc557755f4,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2003/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:468abc4fa7be8283dfdabafc557755f4,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2018/2024,Natagora,
alien-herpetofauna-belgium:taxon:4975c2c62a63e4383b1e9b6c849c60bf,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2020/2020,SOS reptiel,
alien-herpetofauna-belgium:taxon:4a32eb37dd44f83925f95e39ee2da0a0,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,1990/2024,Own observation,
alien-herpetofauna-belgium:taxon:4a32eb37dd44f83925f95e39ee2da0a0,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:4a32eb37dd44f83925f95e39ee2da0a0,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2021/2024,Natagora,
alien-herpetofauna-belgium:taxon:4ce7318f8fdf13ef348aaf364126913d,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:51c001f265c9a71e54b3560f72b04361,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,containerBulk,2017/2017,"Jooris, R. & Lehouck, M. (2007). De Muurhagedis in Vlaanderen. Natuur.focus 6(4):123-129 | SOS reptiel",Container with stone from India
alien-herpetofauna-belgium:taxon:535325733bc0d2de792c94db229f6236,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,otherTransport,2018/2018,"Graitson, Paquet and Verbelen, 2021",
alien-herpetofauna-belgium:taxon:584c397bee0d1e9af38cf6400a07af86,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2015/2015,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:58e54c752ab1a10d28157e225f283408,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2017/2023,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:59464973fe73bb7ce6c6f41b8db2c469,ISO_3166-2:BE-BRU,Brussels-Capital Region,BE,present,introduced,casual,pet,2009/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:59464973fe73bb7ce6c6f41b8db2c469,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,1975/2024,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:59464973fe73bb7ce6c6f41b8db2c469,ISO_3166-2:BE-WAL,Walloon Region,BE,present,introduced,casual,pet,2009/2024,Natagora,
alien-herpetofauna-belgium:taxon:5bc276d3137bc16f629b43e251aa6675,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2019,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:5c173337ff181527acde9b275d17ae48,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2010/2010,Vogelbescherming Vlaanderen,
alien-herpetofauna-belgium:taxon:5f4c8aad83dea48eb1aadf0ac0b2bd08,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2017/2017,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak",
alien-herpetofauna-belgium:taxon:609517e9bd98fdd425bbe64828941c99,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,containerBulk,2015/2015,https://waarnemingen.be/observation/109769235/,
alien-herpetofauna-belgium:taxon:60d51d0f7f3382357f18763b8d972943,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,pet,2005/2018,"Vanreusel W, Swinnen K, Gielen K, Vercayie D, Driessens G, Veraghtert W, Desmet P, Herremans M (2021). Waarnemingen.be - Non-native animal occurrences in Flanders and the Brussels Capital Region, Belgium. Version 1.25. Natuurpunt. Occurrence dataset https://doi.org/10.15468/k2aiak | Vogelbescherming Vlaanderen",
alien-herpetofauna-belgium:taxon:615867d3e0f187d9543e375733aa2483,ISO_3166-2:BE-VLG,Flemish Region,BE,present,introduced,casual,otherTransport,2014/2014,SOS reptiel,in eel shipment
